Date,PM2.5,PM10,NO2,SO2,CO,O3,NH3
2015-01-01,173.51,48.55,15.39,9.2,1.17,11.35,4.59
2015-01-02,173.51,48.55,13.42,8.61,1.23,9.16,7.83
2015-01-03,173.51,48.55,19.56,48.23,0.77,13.45,4.63
2015-01-04,173.51,48.55,16.2,27.96,1.0,10.33,5.23
2015-01-05,173.51,48.55,16.3,16.6,0.9,9.36,5.5
2015-01-06,173.51,48.55,35.6,21.98,0.91,12.61,5.46
2015-01-07,173.51,48.55,46.38,28.13,1.22,13.94,4.9
2015-01-08,173.51,48.55,37.79,21.26,1.15,38.29,3.71
2015-01-09,173.51,48.55,42.65,22.82,1.31,27.34,5.81
2015-01-10,173.51,48.55,19.17,17.36,0.98,27.19,3.96
2015-01-11,173.51,48.55,49.87,21.75,0.8,19.04,3.77
2015-01-12,173.51,48.55,30.31,28.51,1.07,18.32,4.16
2015-01-13,173.51,48.55,64.35,16.44,0.97,17.25,6.06
2015-01-14,173.51,48.55,38.23,20.32,1.22,23.68,8.79
2015-01-15,173.51,48.55,23.87,21.92,1.01,14.1,4.53
2015-01-16,173.51,48.55,18.39,13.18,1.17,13.22,4.03
2015-01-17,173.51,48.55,17.4,10.44,1.7,26.34,3.77
2015-01-18,173.51,48.55,30.7,11.33,1.12,29.08,3.63
2015-01-19,173.51,48.55,41.8,9.72,2.35,27.45,3.82
2015-01-20,173.51,48.55,27.9,8.52,1.99,32.32,20.14
2015-01-21,173.51,48.55,59.26,9.28,1.79,18.84,3.85
2015-01-22,173.51,48.55,46.77,7.64,1.43,24.98,4.6
2015-01-23,173.51,48.55,37.55,10.57,3.43,42.33,4.01
2015-01-24,173.51,48.55,9.89,7.39,0.84,37.17,4.36
2015-01-25,173.51,48.55,10.14,7.16,0.85,17.11,3.98
2015-01-26,173.51,48.55,10.44,7.38,2.07,20.18,3.53
2015-01-27,173.51,48.55,12.63,7.14,1.16,27.02,4.28
2015-01-28,173.51,48.55,16.83,8.06,2.81,36.68,3.69
2015-01-29,173.51,48.55,41.79,8.46,0.84,26.29,3.95
2015-01-30,173.51,48.55,23.84,9.46,0.82,21.75,5.54
2015-01-31,173.51,48.55,46.59,7.88,0.94,38.57,4.37
2015-02-01,173.51,48.55,26.05,7.76,0.71,42.61,4.2
2015-02-02,173.51,48.55,15.82,10.58,1.59,38.8,3.63
2015-02-03,173.51,48.55,14.89,6.83,0.98,29.08,5.12
2015-02-04,173.51,48.55,14.0,4.89,0.85,36.62,27.6
2015-02-05,173.51,48.55,19.17,7.48,0.95,29.93,76.99
2015-02-06,173.51,48.55,16.7,7.36,0.76,37.13,81.78
2015-02-07,173.51,48.55,13.46,6.42,0.89,33.12,25.85
2015-02-08,173.51,48.55,12.98,6.21,1.16,33.17,46.65
2015-02-09,173.51,48.55,13.43,6.27,1.1,31.08,37.42
2015-02-10,173.51,48.55,13.2,6.64,1.0,40.77,58.69
2015-02-11,173.51,48.55,14.8,6.87,1.0,40.57,50.48
2015-02-12,173.51,48.55,14.27,6.79,0.97,47.85,47.94
2015-02-13,173.51,48.55,14.16,7.21,1.19,36.94,56.36
2015-02-14,173.51,48.55,12.97,7.84,1.43,31.32,56.06
2015-02-15,173.51,48.55,13.02,7.58,0.99,26.41,68.44
2015-02-16,173.51,48.55,12.63,7.38,0.98,30.87,82.48
2015-02-17,173.51,48.55,14.43,8.35,5.18,33.53,116.59
2015-02-18,173.51,48.55,15.78,9.15,9.81,33.83,113.29
2015-02-19,173.51,48.55,15.2,9.42,9.99,19.3,85.61
2015-02-20,173.51,48.55,13.43,11.51,4.52,30.22,98.16
2015-02-21,173.51,48.55,11.56,7.04,0.85,24.91,103.03
2015-02-22,173.51,48.55,11.4,6.31,0.9,30.54,110.13
2015-02-23,173.51,48.55,15.81,6.13,0.9,25.03,105.68
2015-02-24,173.51,48.55,14.44,7.34,0.9,29.33,114.96
